2023-06-29 15:49:59 | DEBUG   | module.tasks.BESS            | configure            |  114 | Configuring BESS asset ...
2023-06-29 15:49:59 | DEBUG   | module.tasks.BESS            | configure            |  125 |  - parsing AC-side parameters
2023-06-29 15:49:59 | DEBUG   | module.tasks.BESS            | configure            |  143 |  - parsing DC-side parameters
2023-06-29 15:49:59 | DEBUG   | module.tasks.BESS            | configure            |  162 |  - parsing efficiency parameters
2023-06-29 15:49:59 | DEBUG   | module.tasks.BESS            | configure            |  168 | - parsing degradation curve
2023-06-29 15:49:59 | DEBUG   | module.tasks.BESS            | configure            |  177 |  - parsing test data
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  179 | Configuring BESS asset ... OK! (0.029s)
2023-06-29 15:50:00 | INFO    | __main__                     | optimize             |   76 | Configuring data for MILP ... OK! (0.056s)
2023-06-29 15:50:00 | INFO    | __main__                     | optimize             |   79 | Solving MILP ...
2023-06-29 15:50:00 | DEBUG   | module.core.Optimizer        | solve_milp           |  134 |  - defining MILP
2023-06-29 15:50:00 | DEBUG   | module.core.Optimizer        | solve_milp           |  137 |  - actually solving MILP
2023-06-29 15:50:00 | INFO    | __main__                     | optimize             |   81 | Solving MILP ... OK! (0.101s)
2023-06-29 15:50:00 | INFO    | __main__                     | optimize             |   84 | Generating outputs ...
2023-06-29 15:50:00 | INFO    | __main__                     | optimize             |   86 | Generating outputs ... OK! (0.009s)
2023-06-29 15:50:00 | WARNING | __main__                     | <module>             |  267 | Optimal
2023-06-29 15:50:00 | INFO    | __main__                     | <module>             |  313 |  * Day 53 of 90 ... OK! (-0.192s) * 
2023-06-29 15:50:00 | INFO    | __main__                     | <module>             |  140 |  * Day 54 of 90 ... * 
2023-06-29 15:50:00 | INFO    | __main__                     | optimize             |   73 | Configuring data for MILP...
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  114 | Configuring BESS asset ...
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  125 |  - parsing AC-side parameters
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  143 |  - parsing DC-side parameters
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  162 |  - parsing efficiency parameters
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  168 | - parsing degradation curve
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  177 |  - parsing test data
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  179 | Configuring BESS asset ... OK! (0.015s)
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  114 | Configuring BESS asset ...
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  125 |  - parsing AC-side parameters
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  143 |  - parsing DC-side parameters
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  162 |  - parsing efficiency parameters
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  168 | - parsing degradation curve
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  177 |  - parsing test data
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  179 | Configuring BESS asset ... OK! (0.016s)
2023-06-29 15:50:00 | INFO    | __main__                     | optimize             |   76 | Configuring data for MILP ... OK! (0.031s)
2023-06-29 15:50:00 | INFO    | __main__                     | optimize             |   79 | Solving MILP ...
2023-06-29 15:50:00 | DEBUG   | module.core.Optimizer        | solve_milp           |  134 |  - defining MILP
2023-06-29 15:50:00 | DEBUG   | module.core.Optimizer        | solve_milp           |  137 |  - actually solving MILP
2023-06-29 15:50:00 | INFO    | __main__                     | optimize             |   81 | Solving MILP ... OK! (0.091s)
2023-06-29 15:50:00 | INFO    | __main__                     | optimize             |   84 | Generating outputs ...
2023-06-29 15:50:00 | INFO    | __main__                     | optimize             |   86 | Generating outputs ... OK! (0.008s)
2023-06-29 15:50:00 | WARNING | __main__                     | <module>             |  267 | Optimal
2023-06-29 15:50:00 | INFO    | __main__                     | <module>             |  313 |  * Day 54 of 90 ... OK! (-0.158s) * 
2023-06-29 15:50:00 | INFO    | __main__                     | <module>             |  140 |  * Day 55 of 90 ... * 
2023-06-29 15:50:00 | INFO    | __main__                     | optimize             |   73 | Configuring data for MILP...
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  114 | Configuring BESS asset ...
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  125 |  - parsing AC-side parameters
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  143 |  - parsing DC-side parameters
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  162 |  - parsing efficiency parameters
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  168 | - parsing degradation curve
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  177 |  - parsing test data
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  179 | Configuring BESS asset ... OK! (0.016s)
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  114 | Configuring BESS asset ...
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  125 |  - parsing AC-side parameters
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  143 |  - parsing DC-side parameters
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  162 |  - parsing efficiency parameters
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  168 | - parsing degradation curve
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  177 |  - parsing test data
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  179 | Configuring BESS asset ... OK! (0.016s)
2023-06-29 15:50:00 | INFO    | __main__                     | optimize             |   76 | Configuring data for MILP ... OK! (0.032s)
2023-06-29 15:50:00 | INFO    | __main__                     | optimize             |   79 | Solving MILP ...
2023-06-29 15:50:00 | DEBUG   | module.core.Optimizer        | solve_milp           |  134 |  - defining MILP
2023-06-29 15:50:00 | DEBUG   | module.core.Optimizer        | solve_milp           |  137 |  - actually solving MILP
2023-06-29 15:50:00 | INFO    | __main__                     | optimize             |   81 | Solving MILP ... OK! (0.108s)
2023-06-29 15:50:00 | INFO    | __main__                     | optimize             |   84 | Generating outputs ...
2023-06-29 15:50:00 | INFO    | __main__                     | optimize             |   86 | Generating outputs ... OK! (0.013s)
2023-06-29 15:50:00 | WARNING | __main__                     | <module>             |  267 | Optimal
2023-06-29 15:50:00 | INFO    | __main__                     | <module>             |  313 |  * Day 55 of 90 ... OK! (-0.206s) * 
2023-06-29 15:50:00 | INFO    | __main__                     | <module>             |  140 |  * Day 56 of 90 ... * 
2023-06-29 15:50:00 | INFO    | __main__                     | optimize             |   73 | Configuring data for MILP...
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  114 | Configuring BESS asset ...
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  125 |  - parsing AC-side parameters
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  143 |  - parsing DC-side parameters
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  162 |  - parsing efficiency parameters
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  168 | - parsing degradation curve
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  177 |  - parsing test data
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  179 | Configuring BESS asset ... OK! (0.032s)
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  114 | Configuring BESS asset ...
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  125 |  - parsing AC-side parameters
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  143 |  - parsing DC-side parameters
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  162 |  - parsing efficiency parameters
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  168 | - parsing degradation curve
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  177 |  - parsing test data
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  179 | Configuring BESS asset ... OK! (0.028s)
2023-06-29 15:50:00 | INFO    | __main__                     | optimize             |   76 | Configuring data for MILP ... OK! (0.061s)
2023-06-29 15:50:00 | INFO    | __main__                     | optimize             |   79 | Solving MILP ...
2023-06-29 15:50:00 | DEBUG   | module.core.Optimizer        | solve_milp           |  134 |  - defining MILP
2023-06-29 15:50:00 | DEBUG   | module.core.Optimizer        | solve_milp           |  137 |  - actually solving MILP
2023-06-29 15:50:00 | INFO    | __main__                     | optimize             |   81 | Solving MILP ... OK! (0.108s)
2023-06-29 15:50:00 | INFO    | __main__                     | optimize             |   84 | Generating outputs ...
2023-06-29 15:50:00 | INFO    | __main__                     | optimize             |   86 | Generating outputs ... OK! (0.009s)
2023-06-29 15:50:00 | WARNING | __main__                     | <module>             |  267 | Optimal
2023-06-29 15:50:00 | INFO    | __main__                     | <module>             |  313 |  * Day 56 of 90 ... OK! (-0.215s) * 
2023-06-29 15:50:00 | INFO    | __main__                     | <module>             |  140 |  * Day 57 of 90 ... * 
2023-06-29 15:50:00 | INFO    | __main__                     | optimize             |   73 | Configuring data for MILP...
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  114 | Configuring BESS asset ...
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  125 |  - parsing AC-side parameters
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  143 |  - parsing DC-side parameters
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  162 |  - parsing efficiency parameters
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  168 | - parsing degradation curve
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  177 |  - parsing test data
2023-06-29 15:50:00 | DEBUG   | module.tasks.BESS            | configure            |  179 | Configuring BESS asset ... OK! (0.023s)
